text,correct,relevant,irrelevant,,
"Support: When a blood vessel constricts, less blood can flow through it. \n Question: Does blood flow increase or decrease when blood vessels constrict?",decrease,it's not affected,genome,,
Support: Acceleration occurs when a force is applied to a moving object. \n Question: What occurs when force is applied to a moving object?,acceleration,stimulation,cytokine,,
Support: 7. Compare and contrast the ecosystem concepts of niche and habitat. \n Question: Niche and habitat are concepts related to what broader term?,ecosystem,population,bases,,
Support: Organic chemistry is the study of the chemistry of carbon compounds. \n Question: Organic chemistry is the study of the chemistry of what?,carbon compounds,hydrogen,co2,,
Support: and . The electric force is 39 orders of magnitudes bigger. \n Question: How many orders of magnitudes bigger is the electric force?,39,36,adult humans,,
Support: Fossil fuels are non-renewable sources of energy that produce environmental damage. \n Question: What are non-renewable sources of energy that produce environmental damage?,fossil fuels,crop fuels,external fertilization,,
Support: Intraplate earthquakes occur because solid lithosphere travels on a round planet. \n Question: What occur because solid lithosphere travels on a round planet?,intraplate earthquakes,aeration earthquakes,plasma membrane,,
"Support: Two important concepts associated with the ecosystem are niche and habitat. \n Question: Two important concepts, niche and habitat, are associated with what?",ecosystem,natural selection,trace fossils,,
Support: Quantum mechanics involves the study of material at the atomic level. \n Question: Quantum mechanics involves the study of material at what level?,atomic,cellular,equilibrium constants,,
Support: Each lymph organ has a different job in the immune system. \n Question: Each lymph organ has a different job in what system?,immune,circulatory,secondhand smoke,,
Support: Plaque buildup in an artery reduces blood flow through the vessel. \n Question: What builds up in an artery and reduces blood flow?,plaque,pressure,volcanic arc,,
"Support: Segmented worms have a digestive system, nervous system, and circulatory system. \n Question: Segmented worms have a digestive,nervous and what type of system?",circulatory,pulmonary,mitosis,,
Support: Gibbs free energy values can be used to determine equilibrium constants. \n Question: Gibbs free energy values can be used to determine what?,equilibrium constants,equilibrium differentials,elongates the cell,,
"Support: Terrestrial biomes , which are land-based, such as deserts and forests. \n Question: Deserts and forests are examples of what type of biome?",terrestrial,abundant,hypothesis,,
Support: Learned behavior is behavior that occurs only after experience or practice. \n Question: What kind of behavior occurs only after experience or practice?,learned behavior,memory,red blood cells,,
Support: Mount Kilimanjaro has very different climates at the top and bottom. \n Question: Mount kilimanjaro has ________ climates at the top and bottom?,different,dangerous,pneumonia and emphysema,,
Support: Wave amplitude and wavelength are two important measures of wave size. \n Question: Wave amplitude and wavelength are two important measures of what?,wave size,wave sound,atoms,,
Support: Hydrogen and helium are the most abundant elements in the universe. \n Question: What are the two most abundant elements in the universe?,hydrogen and helium,hydrogen and oxygen,fossils,,
Support: Strong gravitational fields can alter the rate of time passing. True. \n Question: What is capable of altering the rate of time passing?,strong gravitational fields,strong planetary fields,cold dry air,,
Support: diploid cell that forms when two haploid gametes unite during fertilization. \n Question: When two haploid gametes unite during fertilization they form what?,a diploid cell,a mutated cell,animal behavior,,
"Support: Female reproductive structures include the vagina, uterus, ovaries, and fallopian tubes. \n Question: What structures include the vagina, uterus, ovaries, and fallopian tubes?",reproductive,respiration,periosteum,,
Support: The metal part of the compound is named as the element. \n Question: What is the metal part of the compound named as?,the element,the base,the current,,
Support: The brain and spinal cord make up the central nervous system. \n Question: The brain and spinal cord are part of what system?,central nervous system,cardiovascular system,plant cells,,
Support: Rising and sinking air can influence the precipitation of a region. \n Question: What does rising and sinking air influence in a region?,precipitation,temperature,convergent evolution,,
Support: isothermal expansion is a process occurring without a change in temperature. \n Question: Isothermal expansion is a process occurring without a change in?,temperature,weight,chromosome,,
"Support: Bone tissues include compact bone, spongy bone, bone marrow, and periosteum. \n Question: Bone tissues include compact bone, spongy bone, bone marrow, and?",periosteum,cartilage,hardy-weinberg theorem,,
Support: Contact metamorphism occurs when hot magma transforms rock that it contacts. \n Question: What occurs when hot magma transforms rock that it contacts?,contact metamorphism,existence metamorphism,pathogens,,
Support: All waves can be defined in terms of their frequency and intensity. \n Question: Frequency and intensity are two measurable properties of what?,wave,heat,"reflection, refraction and deflection",,
"Support: No new mutations are occurring. Therefore, no new alleles are being created. \n Question: What is necessary for new alleles to be created?",new mutations,cross-pollination,two,,
Support: Cell Layers of the Epidermis. The epidermis consists mainly of epithelial cells. \n Question: The epidermis consists mainly of what type of cells?,epithelial,cytoplasm,synapse,,
Support: Humus is the decayed remains of living organisms. Humus makes soil fertile. \n Question: What is the decayed remains of living organisms called?,humus,plateaus,nuclear,,
Support: the fact that stars are made up of very lightweight hydrogen gas. \n Question: What type of gas are stars made up of?,hydrogen,water vapor,mechanical,,
"Support: Most populations do not live under ideal conditions and grow logistically instead. \n Question: Because conditions are not ideal, most populations grow ____________.",logistically,historically,laser,,
Support: Mushrooms are fungi that are eaten by people all over the globe. \n Question: Which fungi eaten by people all over the world?,mushrooms,fruits,oxygen,,
"Support: Plasmodesmata are gaps between plant cells, connecting the cytoplasms of plant cells. \n Question: What do plasmodesmata connect to in the plant cell?",cytoplasms,nuclei,marine biomes,,
Support: The theory of plate tectonics brings together continental drift and seafloor spreading. \n Question: What theory brings together continental drift and seafloor spreading?,theory of plate tectonics,theory of order tectonics,the continental slope,,
